Customer_ID,Age,Gender,State,Education_Level,Annual_Income,Credit_Limit,Avg_Monthly_Spend,Num_Late_Payments,Credit_Utilization_Rate,Employment_Type,Credit_Score
USCUST100000,59,Female,Illinois,Bachelor’s Degree,66596,16202,1512,2,1.12,Full-Time,400
USCUST100001,72,Female,California,Associate Degree,96799,19004,2109,1,1.33,Retired,397
USCUST100002,49,Male,Michigan,Master’s Degree,58504,20415,1133,1,0.67,Full-Time,558
USCUST100003,35,Female,Georgia,High School,43591,11057,1280,1,1.39,Part-Time,326
USCUST100004,63,Female,California,Master’s Degree,80477,24745,1883,3,0.91,Full-Time,446
USCUST100005,28,Male,California,Bachelor’s Degree,30795,8458,798,3,1.13,Part-Time,331
USCUST100006,41,Male,Illinois,Associate Degree,49992,12393,1030,3,1.0,Full-Time,390
USCUST100007,59,Male,New York,Master’s Degree,78585,19278,1459,3,0.91,Full-Time,446
USCUST100008,39,Female,New York,Bachelor’s Degree,53894,11519,1003,4,1.04,Full-Time,350
USCUST100009,43,Male,California,Master’s Degree,51771,11776,1278,2,1.3,Full-Time,331
USCUST100010,31,Male,Michigan,Bachelor’s Degree,36462,7278,877,2,1.45,Part-Time,300
USCUST100011,31,Male,Georgia,Bachelor’s Degree,38033,7384,757,2,1.23,Part-Time,338
USCUST100012,44,Female,California,Bachelor’s Degree,53872,19087,1228,1,0.77,Full-Time,522
USCUST100013,73,Female,North Carolina,High School,97723,25793,2427,0,1.13,Retired,488
USCUST100014,56,Female,Ohio,Master’s Degree,61620,19920,1138,1,0.69,Full-Time,555
USCUST100015,60,Male,New York,Bachelor’s Degree,70320,14788,1364,0,1.11,Full-Time,468
USCUST100016,44,Female,North Carolina,Bachelor’s Degree,47884,8974,1086,3,1.45,Full-Time,300
USCUST100017,23,Female,Pennsylvania,Master’s Degree,25272,5082,338,3,0.8,Part-Time,425
USCUST100018,42,Male,North Carolina,Doctorate,51981,11898,1183,3,1.19,Full-Time,334
USCUST100019,73,Female,Florida,High School,93511,23548,1509,1,0.77,Retired,562
USCUST100020,22,Female,Illinois,Bachelor’s Degree,24971,6054,618,3,1.22,Unemployed,300
USCUST100021,44,Female,New York,Bachelor’s Degree,56197,11876,1673,1,1.69,Full-Time,300
USCUST100022,64,Female,Florida,Bachelor’s Degree,83914,21346,1504,0,0.85,Full-Time,560
USCUST100023,50,Female,Illinois,Doctorate,69673,18029,1059,1,0.7,Full-Time,558
USCUST100024,58,Female,Michigan,Master’s Degree,70004,19959,1405,2,0.84,Full-Time,486
USCUST100025,22,Female,Pennsylvania,Bachelor’s Degree,24992,8085,493,0,0.73,Unemployed,535
USCUST100026,41,Female,Texas,Associate Degree,45089,10451,1063,0,1.22,Full-Time,408
USCUST100027,53,Male,California,Bachelor’s Degree,57760,17950,1259,0,0.84,Full-Time,535
USCUST100028,32,Male,North Carolina,Bachelor’s Degree,42399,10739,830,2,0.93,Part-Time,434
USCUST100029,42,Male,New York,High School,44036,7646,934,1,1.47,Part-Time,304
USCUST100030,64,Male,New York,Bachelor’s Degree,84593,28690,1366,2,0.57,Full-Time,583
USCUST100031,45,Male,Georgia,High School,50092,18214,1216,1,0.8,Full-Time,509
USCUST100032,69,Male,Michigan,Bachelor’s Degree,78072,21934,2152,3,1.18,Retired,364
USCUST100033,47,Male,Ohio,Bachelor’s Degree,55687,14171,882,3,0.75,Full-Time,471
USCUST100034,62,Female,Texas,High School,70037,16558,998,1,0.72,Full-Time,553
USCUST100035,48,Female,Florida,Master’s Degree,62073,14078,1189,2,1.01,Full-Time,428
USCUST100036,36,Female,Ohio,High School,49728,15442,782,3,0.61,Full-Time,507
USCUST100037,35,Female,North Carolina,Bachelor’s Degree,39698,9890,615,2,0.75,Part-Time,485
USCUST100038,67,Female,Michigan,Bachelor’s Degree,77504,25862,1161,1,0.54,Retired,615
USCUST100039,71,Male,Illinois,Master’s Degree,84040,21156,1683,4,0.95,Retired,407
USCUST100040,64,Male,Georgia,Master’s Degree,80262,18410,1534,1,1.0,Full-Time,480
USCUST100041,72,Female,California,Associate Degree,85294,18759,1909,3,1.22,Retired,358
USCUST100042,23,Female,New York,High School,30790,6552,569,3,1.04,Part-Time,358
USCUST100043,57,Female,New York,Bachelor’s Degree,74935,20660,1181,1,0.69,Full-Time,569
USCUST100044,71,Male,Michigan,Bachelor’s Degree,76783,14225,1594,2,1.34,Retired,343
USCUST100045,27,Male,California,Associate Degree,33806,7068,555,0,0.94,Part-Time,481
USCUST100046,41,Female,New York,High School,55433,17529,1273,2,0.87,Full-Time,463
USCUST100047,29,Male,Michigan,High School,33365,6748,463,3,0.82,Part-Time,426
USCUST100048,59,Female,New York,Associate Degree,69063,20244,815,0,0.48,Full-Time,654
USCUST100049,38,Female,Texas,Bachelor’s Degree,43593,6401,615,4,1.15,Part-Time,307
USCUST100050,24,Male,Ohio,Bachelor’s Degree,27583,8895,526,2,0.71,Part-Time,484
